sl_no,state,year,tb_cases,outbreak_label,e_inc_100k,e_mort_100k,c_cdr,log_tb_cases,year_trend,state_burden_rank,state_mean,state_std
21,Maharashtra,2023,90215,1,192.0,22.0,86.0,11.409962073912123,3,2.0,170989.75,61850.877047810194
22,Manipur,2023,900,0,192.0,22.0,86.0,6.803505257608338,3,29.0,1702.5,682.3266568636071
23,Meghalaya,2023,2057,0,192.0,22.0,86.0,7.629489916393995,3,23.0,3834.25,1249.7870151883212
24,Mizoram,2023,981,0,192.0,22.0,86.0,6.889591308354466,3,28.0,1787.25,588.5271871375187
25,Nagaland,2023,1896,0,192.0,22.0,86.0,7.5480289699350145,3,24.0,3289.0,967.372730647293
26,Odisha,2023,25939,0,192.0,22.0,86.0,10.163541457870435,3,14.0,46080.0,14717.654364741686
27,Puducherry,2023,652,0,192.0,22.0,86.0,6.481577129276431,3,31.0,2673.25,1418.5728450335805
28,Punjab,2023,24800,0,192.0,22.0,86.0,10.118639253920785,3,15.0,44072.5,13360.349833244138
29,Rajasthan,2023,69222,0,192.0,22.0,86.0,11.145088456325304,3,5.0,131328.0,43483.4056700561
30,Sikkim,2023,615,0,192.0,22.0,86.0,6.423246963533519,3,32.0,1177.25,375.93649729708346
31,Tamil Nadu,2023,40923,0,192.0,22.0,86.0,10.61947196699883,3,8.0,71982.25,22836.250821519134
32,Telangana,2023,31094,0,192.0,22.0,86.0,10.34480231353799,3,13.0,56989.5,18051.605219481175
33,Tripura,2023,1467,0,192.0,22.0,86.0,7.291656209174461,3,26.0,2276.25,665.1563099502753
34,Uttar Pradesh,2023,253988,1,192.0,22.0,86.0,12.44504623797628,3,1.0,399297.75,116056.67559250236
35,Uttarakhand,2023,10976,0,192.0,22.0,86.0,9.303557453687317,3,19.0,20329.5,6971.958715693412
36,West Bengal,2023,44210,0,192.0,22.0,86.0,10.696728905881372,3,7.0,78677.0,24662.037344874814
