state,year,outbreak,phi_1,phi_2,phi_3,phi_4,phi_5,phi_6,phi_7,phi_8,phi_9,phi_10,phi_11,phi_12,phi_13,phi_14,phi_15,phi_16
Punjab,2022,0,1.466818,1.420927,1.7668501,0.0,0.11469029,0.073568456,1.443209,1.2605338,0.14683351,1.4553487,1.4895314,1.356375,0.026897624,0.0,1.2185631,1.6523893
Rajasthan,2022,1,0.0,0.0,0.0,5.590792,7.6738596,5.680451,0.0,0.0,8.834158,0.0,0.0,0.0,7.8219852,7.2782383,0.0,0.0
Sikkim,2022,0,5.655566,5.2012315,7.5858808,0.0,0.0,0.0,6.5573463,5.7452297,0.0,5.950855,6.2561846,6.011296,0.0,0.0,4.5505424,5.9637723
Tamil Nadu,2022,1,0.0,0.0,0.0,2.613432,3.564007,2.692379,0.0,0.0,4.133128,0.0,0.0,0.0,3.7332265,3.3544137,0.0,0.0
Telangana,2022,1,0.2556091,0.26799616,0.0888361,1.3097548,1.9100841,1.4429199,0.07889196,0.15830961,2.2448142,0.15904963,0.24435537,0.16721386,2.0177054,1.731489,0.22458485,0.26323962
Tripura,2022,0,7.8785133,6.9240017,10.531414,0.0,0.0,0.0,9.394396,8.145626,0.0,8.32983,8.978142,8.573707,0.0,0.0,6.2953615,7.881631
Uttar Pradesh,2022,1,0.0,0.0,0.0,10.043515,13.7560005,10.279443,0.0,0.0,15.864581,0.0,0.0,0.0,14.076895,13.153997,0.0,0.0
Uttarakhand,2022,0,2.2794762,2.1975255,2.8805234,0.0,0.14813896,0.06819345,2.446136,2.146343,0.14359976,2.2698488,2.3936944,2.2674596,0.0,0.0,1.8576248,2.5354867
West Bengal,2022,1,0.0,0.0,0.0,3.3782806,4.5179453,3.4525278,0.0,0.0,5.252472,0.0,0.0,0.0,4.709639,4.265088,0.0,0.0
Andaman and Nicobar Islands,2023,0,6.1203103,5.4151516,8.200862,0.0,0.0,0.0,7.2922735,6.3477883,0.0,6.4974885,6.9370756,6.662387,0.0,0.0,4.889128,6.1641707
Andhra Pradesh,2023,0,0.0,0.0,0.0,4.0794086,5.896249,4.2485313,0.0,0.0,6.7480702,0.0,0.0,0.0,6.0084114,5.390941,0.0,0.0
Arunachal Pradesh,2023,0,2.6164203,2.3560014,3.4591608,0.0,0.0,0.0,2.8986287,2.6025333,0.0,2.7972348,2.8533127,2.6935554,0.0,0.0,2.1469665,2.7812328
Assam,2023,0,0.7109672,0.6064966,0.84442776,0.4991694,0.6991664,0.5745581,0.6625618,0.6972518,0.91839796,0.76255065,0.7856486,0.6681222,0.8480451,0.5540987,0.6216241,0.7457847
Bihar,2023,1,0.0,0.0,0.0,5.7582617,8.004727,5.9139714,0.0,0.0,9.168721,0.0,0.0,0.0,8.163611,7.457641,0.0,0.0
Chandigarh,2023,0,3.4508164,3.0124204,4.5321746,0.0,0.0,0.0,3.928735,3.473274,0.0,3.6459186,3.8232706,3.625773,0.0,0.0,2.7870288,3.4908807
Chhattisgarh,2023,0,0.85615784,0.8966782,0.64074117,4.5603595,6.7324877,4.826588,1.0791003,1.1914564,7.6820655,0.42223012,1.157795,1.1668237,6.8447833,5.907353,0.5251862,0.64738095
Dadra and Nagar Haveli and Daman and Diu,2023,0,5.894694,5.2075276,7.885533,0.0,0.0,0.0,7.004265,6.1016784,0.0,6.253066,6.6720037,6.4022255,0.0,0.0,4.7107534,5.9325857
Delhi,2023,0,0.0,0.0,0.0,4.3584914,6.299934,4.545189,0.0,0.0,7.208179,0.0,0.0,0.0,6.421861,5.7431235,0.0,0.0
Goa,2023,0,3.2684996,3.0969515,4.412634,0.0,0.0,0.0,3.8369997,3.3841057,0.0,3.4456856,3.58283,3.4794538,0.0,0.0,2.6641293,3.5314522
